voltage,total current,power,seconds,,plus 330 ohm 
83.942,0.086,8.795,0,,3.51E-02
81.253,0.083,6.747,1,,3.86E-02
86.922,0.079,6.773,2,,3.91E-02
104.891,0.078,8.189,3,,3.84E-02
124.702,0.078,9.61,4,,3.81E-02
141.503,0.079,11.047,5,,3.78E-02
152.154,0.079,12.06,6,,3.77E-02
156.313,0.08,12.463,7,,3.76E-02
155.771,0.08,12.49,8,,3.73E-02
151.969,0.08,12.211,9,,3.67E-02
145.764,0.081,11.786,10,,3.60E-02
137.102,0.081,11.116,11,,3.49E-02
127.552,0.081,10.315,12,,3.36E-02
118.258,0.081,9.632,13,,3.23E-02
109.401,0.081,8.86,14,,3.09E-02
101.179,0.081,8.163,15,,2.96E-02
94.339,0.081,7.653,16,,2.85E-02
88.46,0.08,7.141,17,,2.74E-02
83.48,0.08,6.713,18,,2.65E-02
79.312,0.08,6.403,19,,2.56E-02
75.717,0.08,6.098,20,,2.49E-02
72.566,0.08,5.824,21,,2.42E-02
69.782,0.08,5.592,22,,2.36E-02
67.275,0.08,5.413,23,,2.30E-02
65.128,0.08,5.232,24,,2.25E-02
63.134,0.08,5.074,25,,2.20E-02
61.496,0.08,4.933,26,,2.16E-02
60.003,0.08,4.806,27,,2.12E-02
58.738,0.08,4.71,28,,2.09E-02
57.625,0.08,4.618,29,,2.06E-02
56.778,0.08,4.551,30,,2.03E-02
55.986,0.08,4.484,31,,2.01E-02
55.295,0.08,4.425,32,,2.00E-02
54.656,0.08,4.379,33,,1.98E-02
54.085,0.08,4.329,34,,1.96E-02
53.555,0.08,4.285,35,,1.95E-02
53.051,0.08,4.249,36,,1.94E-02
52.596,0.08,4.21,37,,1.92E-02
52.136,0.08,4.171,38,,1.91E-02
51.683,0.08,4.139,39,,1.90E-02
51.266,0.08,4.103,40,,1.89E-02
50.871,0.08,4.07,41,,1.87E-02
50.518,0.08,4.043,42,,1.86E-02
50.174,0.08,4.014,43,,1.85E-02
49.775,0.08,3.982,44,,1.84E-02
49.399,0.08,3.955,45,,1.83E-02
49.037,0.08,3.923,46,,1.82E-02
48.642,0.08,3.889,47,,1.81E-02
48.204,0.08,3.858,48,,1.80E-02
47.779,0.08,3.823,49,,1.78E-02
47.364,0.08,3.792,50,,1.77E-02
46.922,0.08,3.756,51,,1.76E-02
46.494,0.08,3.72,52,,1.74E-02
46.007,0.08,3.686,53,,1.73E-02
45.479,0.08,3.641,54,,1.71E-02
44.935,0.08,3.595,55,,1.70E-02
44.439,0.08,3.56,56,,1.68E-02
43.889,0.08,3.513,57,,1.66E-02
43.38,0.08,3.471,58,,1.65E-02
42.898,0.08,3.437,59,,1.63E-02
42.01,0.08,3.377,60,,1.61E-02
41.142,0.08,3.293,61,,1.60E-02
40.607,0.08,3.253,62,,1.56E-02
40.072,0.08,3.208,63,,1.54E-02
39.585,0.08,3.168,64,,1.52E-02
38.162,0.08,3.115,65,,1.51E-02
37.267,0.08,2.982,66,,1.49E-02
36.677,0.08,2.941,67,,1.43E-02
35.975,0.08,2.88,68,,1.41E-02
35.481,0.08,2.839,69,,1.39E-02
35.012,0.08,2.804,70,,1.37E-02
34.561,0.08,2.767,71,,1.36E-02
34.204,0.08,2.735,72,,1.34E-02
33.846,0.08,2.71,73,,1.33E-02
33.505,0.08,2.68,74,,1.32E-02
33.188,0.08,2.657,75,,1.31E-02
32.857,0.08,2.63,76,,1.30E-02
32.488,0.08,2.599,77,,1.29E-02
32.108,0.08,2.567,78,,1.28E-02
31.755,0.08,2.544,79,,1.27E-02
31.437,0.08,2.516,80,,1.26E-02
31.142,0.08,2.491,81,,1.25E-02
30.844,0.08,2.469,82,,1.24E-02
30.563,0.08,2.445,83,,1.23E-02
30.304,0.08,2.423,84,,1.22E-02
30.055,0.08,2.406,85,,1.21E-02
29.819,0.08,2.386,86,,1.21E-02
29.601,0.08,2.368,87,,1.20E-02
29.396,0.08,2.353,88,,1.19E-02
29.194,0.08,2.336,89,,1.19E-02
29.001,0.08,2.32,90,,1.18E-02
28.818,0.08,2.306,91,,1.18E-02
28.633,0.08,2.29,92,,1.17E-02
28.446,0.08,2.276,93,,1.17E-02
28.269,0.08,2.261,94,,1.16E-02
28.1,0.08,2.249,95,,1.16E-02
27.937,0.08,2.235,96,,1.15E-02
27.785,0.08,2.222,97,,1.15E-02
27.636,0.08,2.211,98,,1.15E-02
27.45,0.08,2.196,99,,1.14E-02
27.273,0.08,2.182,100,,1.14E-02
27.142,0.08,2.172,101,,1.13E-02
26.976,0.08,2.158,102,,1.13E-02
26.814,0.08,2.144,103,,1.13E-02
26.651,0.08,2.133,104,,1.12E-02
26.499,0.08,2.12,105,,1.12E-02
26.342,0.08,2.108,106,,1.11E-02
26.181,0.08,2.095,107,,1.11E-02
26.017,0.08,2.081,108,,1.11E-02
25.878,0.08,2.071,109,,1.10E-02
25.735,0.08,2.059,110,,1.10E-02
25.58,0.08,2.047,111,,1.09E-02
25.429,0.08,2.034,112,,1.09E-02
25.276,0.08,2.023,113,,1.09E-02
25.141,0.08,2.011,114,,1.08E-02
25.016,0.08,2.001,115,,1.08E-02
24.893,0.08,1.992,116,,1.08E-02
24.782,0.08,1.981,117,,1.07E-02
24.655,0.08,1.973,118,,1.07E-02
24.543,0.08,1.963,119,,1.07E-02
24.417,0.08,1.953,120,,1.06E-02
,,,,,1.06E-02
,,,,,1.06E-02
,,,,,1.06E-02
,,,,,3.39E-06
