voltage,total current,power,seconds,,no resistor cell
157.424,0.09,14.092,0,,6.24E-02
134.464,0.081,11.353,1,,4.64E-02
111.171,0.067,7.482,2,,3.69E-02
104.287,0.062,6.437,3,,3.33E-02
101.623,0.059,6.032,4,,3.14E-02
100.649,0.057,5.77,5,,3.02E-02
100.268,0.056,5.622,6,,2.94E-02
100.115,0.055,5.485,7,,2.89E-02
100.053,0.054,5.372,8,,2.86E-02
100.027,0.053,5.281,9,,2.83E-02
100.017,0.052,5.207,10,,2.81E-02
100.013,0.051,5.13,11,,2.80E-02
100.011,0.051,5.071,12,,2.79E-02
100.009,0.05,5.024,13,,2.78E-02
100.008,0.05,4.984,14,,2.78E-02
100.007,0.05,4.964,15,,2.79E-02
100.007,0.05,4.951,16,,2.81E-02
0.018,0.15,0.003,17,,1.56E-06
100.006,0.051,5.084,18,,2.93E-02
100.005,0.05,4.999,19,,2.87E-02
100.005,0.05,4.983,20,,2.87E-02
100.004,0.05,4.992,21,,2.90E-02
100.004,0.05,5.023,22,,2.95E-02
100.004,0.051,5.077,23,,3.01E-02
100.004,0.052,5.151,24,,3.08E-02
100.004,0.052,5.231,25,,3.17E-02
100.003,0.054,5.346,26,,3.29E-02
100.003,0.055,5.485,27,,3.42E-02
100.003,0.057,5.644,28,,3.58E-02
100.003,0.059,5.845,29,,3.76E-02
100.003,0.061,6.114,30,,3.99E-02
100.003,0.064,6.401,31,,4.27E-02
100.003,0.068,6.802,32,,4.60E-02
100.003,0.073,7.315,33,,5.02E-02
100.003,0.079,7.853,34,,5.53E-02
100.003,0.086,8.601,35,,6.15E-02
100.003,0.096,9.5,36,,6.91E-02
100.003,0.106,10.58,37,,7.80E-02
100.003,0.117,11.59,38,,8.82E-02
100.003,0.129,12.798,39,,9.93E-02
100.003,0.141,14.109,40,,1.11E-01
100.002,0.154,15.517,41,,1.23E-01
90.475,0.151,13.715,42,,1.36E-01
84.716,0.151,12.781,43,,1.34E-01
80.433,0.151,12.138,44,,1.35E-01
76.864,0.151,11.578,45,,1.36E-01
73.596,0.151,11.124,46,,1.36E-01
71.117,0.151,10.701,47,,1.37E-01
68.239,0.15,10.285,48,,1.37E-01
66.005,0.15,9.924,49,,1.37E-01
63.466,0.15,9.577,50,,1.38E-01
58.456,0.151,8.814,51,,1.38E-01
55.35,0.151,8.401,52,,1.40E-01
52.733,0.151,7.949,53,,1.40E-01
49.7,0.151,7.513,54,,1.40E-01
42.738,0.151,6.463,55,,1.41E-01
39.149,0.15,5.919,56,,1.43E-01
36.348,0.151,5.509,57,,1.43E-01
33.957,0.15,5.106,58,,1.43E-01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
