voltage,total current,power,seconds,,100 ohm less cell
108.144,,10.836,0,,
132.137,0.097,12.605,1,,4.73E-02
165.34,0.097,16.024,2,,4.99E-02
191.973,0.098,18.581,3,,5.08E-02
197.208,0.1,19.825,4,,5.27E-02
185.195,0.102,18.873,5,,5.41E-02
165.002,0.102,16.831,6,,5.58E-02
142.781,0.102,14.778,7,,5.75E-02
123.997,0.102,12.676,8,,5.90E-02
109.707,0.101,11.098,9,,6.03E-02
99.175,0.101,10.092,10,,6.13E-02
91.601,0.101,9.244,11,,6.22E-02
85.445,0.101,8.588,12,,6.30E-02
80.414,0.1,8.074,13,,6.37E-02
76.51,0.1,7.712,14,,6.43E-02
73.261,0.1,7.355,15,,6.48E-02
70.244,0.1,7.041,16,,6.53E-02
67.757,0.1,6.805,17,,6.58E-02
65.446,0.1,6.557,18,,6.62E-02
63.481,0.1,6.368,19,,6.67E-02
61.634,0.1,6.171,20,,6.72E-02
60.207,0.1,6.04,21,,6.75E-02
58.913,0.1,5.896,22,,6.78E-02
57.799,0.1,5.784,23,,6.81E-02
56.917,0.1,5.691,24,,6.83E-02
56.108,0.1,5.608,25,,6.84E-02
55.437,0.1,5.545,26,,6.86E-02
54.851,0.1,5.491,27,,6.87E-02
54.311,0.1,5.434,28,,6.88E-02
53.804,0.1,5.381,29,,6.89E-02
53.329,0.1,5.334,30,,6.90E-02
52.929,0.1,5.298,31,,6.91E-02
52.565,0.1,5.259,32,,6.92E-02
52.176,0.1,5.218,33,,6.93E-02
51.808,0.1,5.179,34,,6.94E-02
51.433,0.1,5.144,35,,6.95E-02
51.01,0.1,5.104,36,,6.96E-02
50.605,0.1,5.061,37,,6.97E-02
50.168,0.1,5.022,38,,6.99E-02
49.76,0.1,4.978,39,,7.00E-02
49.365,0.1,4.937,40,,7.02E-02
48.928,0.1,4.898,41,,7.04E-02
48.528,0.1,4.853,42,,7.05E-02
48.12,0.1,4.809,43,,7.07E-02
47.701,0.1,4.772,44,,7.09E-02
47.287,0.1,4.729,45,,7.11E-02
46.88,0.1,4.686,46,,7.12E-02
46.443,0.1,4.649,47,,7.14E-02
46.077,0.1,4.608,48,,7.16E-02
45.632,0.1,4.562,49,,7.18E-02
45.25,0.1,4.523,50,,7.20E-02
44.911,0.1,4.492,51,,7.22E-02
44.592,0.1,4.459,52,,7.23E-02
44.257,0.1,4.424,53,,7.25E-02
43.91,0.1,4.393,54,,7.26E-02
43.568,0.1,4.357,55,,7.27E-02
43.13,0.1,4.331,56,,7.29E-02
42.66,0.1,4.27,57,,7.30E-02
42.299,0.1,4.233,58,,7.33E-02
41.957,0.1,4.198,59,,7.35E-02
41.628,0.1,4.163,60,,7.36E-02
40.216,0.1,4.034,61,,7.38E-02
39.236,0.1,3.933,62,,7.39E-02
38.493,0.1,3.858,63,,7.48E-02
37.909,0.1,3.793,64,,7.53E-02
37.413,0.1,3.742,65,,7.57E-02
36.952,0.1,3.694,66,,7.60E-02
36.556,0.1,3.657,67,,7.62E-02
36.159,0.1,3.616,68,,7.64E-02
35.768,0.1,3.577,69,,7.66E-02
35.338,0.1,3.536,70,,7.68E-02
34.877,0.1,3.488,71,,7.70E-02
33.918,0.1,3.399,72,,7.72E-02
33.373,0.1,3.338,73,,7.74E-02
32.954,0.1,3.296,74,,7.79E-02
32.588,0.1,3.262,75,,7.82E-02
32.225,0.1,3.225,76,,7.85E-02
31.835,0.1,3.182,77,,7.86E-02
31.452,0.1,3.147,78,,7.88E-02
31.171,0.1,3.117,79,,7.90E-02
30.879,0.1,3.087,80,,7.92E-02
30.154,0.1,3.036,81,,7.94E-02
29.168,0.1,2.919,82,,7.95E-02
28.766,0.1,2.877,83,,7.96E-02
28.056,0.1,2.815,84,,8.03E-02
27.551,0.1,2.762,85,,8.07E-02
27.175,0.1,2.719,86,,8.09E-02
26.765,0.1,2.677,87,,8.13E-02
26.5,0.1,2.654,88,,8.16E-02
26.183,0.1,2.619,89,,8.17E-02
25.902,0.1,2.59,90,,8.19E-02
25.645,0.1,2.564,91,,8.21E-02
25.363,0.1,2.536,92,,8.22E-02
25.104,0.1,2.513,93,,8.24E-02
24.861,0.1,2.487,94,,8.25E-02
24.683,0.1,2.468,95,,8.26E-02
24.493,0.1,2.449,96,,8.28E-02
24.324,0.1,2.433,97,,8.29E-02
24.17,0.1,2.417,98,,8.30E-02
24.018,0.1,2.404,99,,8.30E-02
23.894,0.1,2.389,100,,8.31E-02
23.772,0.1,2.378,101,,8.32E-02
23.642,0.1,2.364,102,,8.33E-02
23.531,0.1,2.352,103,,8.33E-02
23.43,0.1,2.343,104,,8.34E-02
23.333,0.1,2.334,105,,8.34E-02
23.219,0.1,2.321,106,,8.34E-02
23.111,0.1,2.31,107,,8.35E-02
23.01,0.1,2.3,108,,8.35E-02
22.9,0.1,2.29,109,,8.35E-02
22.812,0.1,2.281,110,,8.36E-02
22.725,0.1,2.272,111,,8.36E-02
22.609,0.1,2.261,112,,8.36E-02
22.512,0.1,2.251,113,,8.37E-02
22.419,0.1,2.242,114,,8.37E-02
22.323,0.1,2.232,115,,8.37E-02
22.245,0.1,2.225,116,,8.38E-02
22.16,0.1,2.216,117,,8.38E-02
22.087,0.1,2.208,118,,8.39E-02
22.016,0.1,2.201,119,,8.39E-02
21.961,0.1,2.196,120,,8.39E-02
,,,,,8.39E-02
,,,,,8.40E-02
,,,,,8.40E-02
,,,,,8.40E-02
