voltage,total current,power,seconds,,cell
109.353,0.101,11.426,0,,3.02E-04
109.559,0.099,10.863,1,,4.32E-02
134.096,0.097,12.687,2,,4.75E-02
166.604,0.097,15.873,3,,4.70E-02
199.803,0.095,19.058,4,,4.40E-02
200.005,0.093,18.58,5,,4.18E-02
200.005,0.097,19.504,6,,4.16E-02
195.996,0.107,21.767,7,,4.08E-02
151.592,0.103,15.741,8,,3.36E-02
130.739,0.101,13.269,9,,2.99E-02
117.904,0.101,12.016,10,,2.75E-02
108.548,0.101,10.968,11,,2.57E-02
102.091,0.098,10.195,12,,2.44E-02
96.531,0.101,9.862,13,,2.37E-02
90.932,0.1,9.127,14,,2.23E-02
87.147,0.1,8.779,15,,2.15E-02
83.298,0.1,8.377,16,,2.07E-02
80.259,0.1,8.047,17,,2.00E-02
77.546,0.1,7.763,18,,1.94E-02
75.274,0.1,7.549,19,,1.89E-02
72.924,0.1,7.305,20,,1.84E-02
71.027,0.1,7.13,21,,1.80E-02
69.386,0.1,6.952,22,,1.76E-02
67.902,0.1,6.798,23,,1.73E-02
66.668,0.1,6.676,24,,1.70E-02
65.47,0.1,6.556,25,,1.67E-02
64.377,0.1,6.447,26,,1.65E-02
63.258,0.1,6.331,27,,1.62E-02
62.365,0.1,6.246,28,,1.60E-02
61.584,0.1,6.163,29,,1.58E-02
60.791,0.1,6.094,30,,1.57E-02
59.982,0.1,6.004,31,,1.55E-02
59.293,0.1,5.932,32,,1.53E-02
58.631,0.1,5.872,33,,1.52E-02
58.026,0.1,5.8,34,,1.50E-02
57.236,0.1,5.725,35,,1.49E-02
56.56,0.1,5.66,36,,1.47E-02
55.824,0.1,5.584,37,,1.46E-02
55.167,0.1,5.524,38,,1.44E-02
54.661,0.1,5.472,39,,1.43E-02
53.993,0.1,5.4,40,,1.42E-02
53.331,0.1,5.343,41,,1.40E-02
52.655,0.1,5.269,42,,1.39E-02
52.061,0.1,5.207,43,,1.37E-02
51.472,0.1,5.148,44,,1.36E-02
50.903,0.1,5.092,45,,1.35E-02
50.318,0.1,5.039,46,,1.33E-02
49.805,0.1,4.983,47,,1.32E-02
49.271,0.1,4.928,48,,1.31E-02
48.757,0.1,4.882,49,,1.30E-02
48.254,0.1,4.828,50,,1.29E-02
47.815,0.1,4.782,51,,1.27E-02
47.486,0.1,4.75,52,,1.26E-02
47.058,0.1,4.708,53,,1.26E-02
46.146,0.1,4.615,54,,1.25E-02
45.34,0.1,4.54,55,,1.24E-02
44.866,0.1,4.487,56,,1.21E-02
44.474,0.1,4.45,57,,1.20E-02
43.881,0.1,4.395,58,,1.19E-02
43.133,0.1,4.314,59,,1.18E-02
41.212,0.1,4.121,60,,1.16E-02
40.361,0.1,4.04,61,,1.14E-02
39.7,0.1,3.978,62,,1.10E-02
39.249,0.1,3.927,63,,1.08E-02
38.98,0.1,3.899,64,,1.06E-02
38.813,0.1,3.88,65,,1.05E-02
39.511,0.1,3.919,66,,1.05E-02
40.929,0.1,4.096,67,,1.05E-02
40.122,0.1,4.017,68,,1.07E-02
39.288,0.1,3.965,69,,1.11E-02
39.612,0.1,3.96,70,,1.09E-02
38.956,0.1,3.905,71,,1.07E-02
38.58,0.1,3.857,72,,1.07E-02
38.061,0.1,3.806,73,,1.06E-02
37.881,0.1,3.79,74,,1.05E-02
37.684,0.1,3.77,75,,1.04E-02
37.483,0.1,3.748,76,,1.04E-02
37.324,0.1,3.731,77,,1.03E-02
37.171,0.1,3.715,78,,1.03E-02
37.263,0.1,3.726,79,,1.03E-02
37.572,0.1,3.764,80,,1.02E-02
37.516,0.1,3.756,81,,1.02E-02
37.601,0.1,3.758,82,,1.03E-02
38.146,0.1,3.811,83,,1.04E-02
38.346,0.1,3.83,84,,1.04E-02
38.779,0.1,3.865,85,,1.05E-02
39.488,0.1,3.947,86,,1.06E-02
39.242,0.1,3.926,87,,1.07E-02
38.946,0.1,3.898,88,,1.09E-02
39.415,0.1,3.942,89,,1.10E-02
39.08,0.1,3.908,90,,1.09E-02
38.88,0.1,3.887,91,,1.08E-02
38.708,0.1,3.872,92,,1.10E-02
38.514,0.1,3.852,93,,1.09E-02
38.344,0.1,3.833,94,,1.09E-02
38.18,0.1,3.819,95,,1.08E-02
38.06,0.1,3.805,96,,1.08E-02
37.994,0.1,3.798,97,,1.07E-02
37.955,0.1,3.795,98,,1.07E-02
37.906,0.1,3.789,99,,1.07E-02
37.845,0.1,3.783,100,,1.07E-02
37.764,0.1,3.775,101,,1.07E-02
37.703,0.1,3.769,102,,1.07E-02
37.684,0.1,3.767,103,,1.07E-02
37.776,0.1,3.774,104,,1.07E-02
38.147,0.1,3.812,105,,1.07E-02
39.289,0.1,3.932,106,,1.07E-02
43.328,0.1,4.334,107,,1.07E-02
42.978,0.1,4.299,108,,1.08E-02
42.591,0.1,4.259,109,,1.11E-02
42.202,0.1,4.224,110,,1.21E-02
40.581,0.1,4.068,111,,1.22E-02
39.779,0.1,3.979,112,,1.21E-02
39.246,0.1,3.934,113,,1.20E-02
38.957,0.1,3.896,114,,1.17E-02
38.713,0.1,3.867,115,,1.14E-02
38.287,0.1,3.832,116,,1.13E-02
38.059,0.1,3.802,117,,1.11E-02
37.774,0.1,3.778,118,,1.11E-02
37.667,0.1,3.776,119,,1.10E-02
37.644,0.1,3.77,120,,1.09E-02
,,,,,1.09E-02
,,,,,1.08E-02
,,,,,1.08E-02
,,,,,4.53E-03
