voltage,total current,power,seconds,,,two cells
200.002,0.14,28.023,0,,,6.59E-02
200.002,0.125,25.88,1,,,4.78E-02
200.002,0.097,19.735,2,,,3.95E-02
200.002,0.09,17.95,3,,,3.52E-02
200.002,0.09,17.931,4,,,3.30E-02
200.002,0.097,19.197,5,,,3.17E-02
200.002,0.118,23.681,6,,,3.09E-02
200.002,0.167,32.914,7,,,3.02E-02
169.193,0.206,35.876,8,,,2.25E-02
136.602,0.202,27.609,9,,,1.96E-02
117.775,0.201,24.085,10,,,1.76E-02
105.724,0.201,21.364,11,,,1.62E-02
97.054,0.201,19.473,12,,,1.52E-02
91.45,0.2,18.433,13,,,1.46E-02
87.544,0.2,17.558,14,,,1.41E-02
84.271,0.2,16.875,15,,,1.37E-02
81.637,0.2,16.428,16,,,1.33E-02
75.986,0.2,15.246,17,,,1.24E-02
