voltage,total current,power,seconds,,plus hundred ohm less
52.308,0.088,4.625,0,,-2.09E-07
34.025,0.061,2.142,1,,3.21E-02
33.244,0.06,1.994,2,,3.19E-02
33.775,0.06,2.021,3,,3.19E-02
34.488,0.06,2.064,4,,3.18E-02
35.368,0.06,2.119,5,,3.18E-02
36.416,0.06,2.174,6,,3.17E-02
37.656,0.06,2.25,7,,3.17E-02
39.172,0.06,2.338,8,,3.17E-02
40.712,0.06,2.44,9,,3.16E-02
42.51,0.06,2.535,10,,3.17E-02
44.275,0.06,2.648,11,,3.17E-02
46.13,0.06,2.759,12,,3.17E-02
48.026,0.06,2.86,13,,3.17E-02
49.79,0.06,2.972,14,,3.16E-02
51.648,0.06,3.089,15,,3.16E-02
53.587,0.06,3.204,16,,3.14E-02
55.473,0.06,3.308,17,,3.14E-02
57.213,0.06,3.416,18,,3.13E-02
58.951,0.06,3.521,19,,3.13E-02
60.533,0.06,3.612,20,,3.13E-02
61.921,0.06,3.702,21,,3.13E-02
63.207,0.06,3.78,22,,3.13E-02
64.404,0.06,3.856,23,,3.14E-02
65.514,0.06,3.917,24,,3.14E-02
66.507,0.06,3.981,25,,3.14E-02
67.378,0.06,4.036,26,,3.15E-02
68.147,0.06,4.078,27,,3.15E-02
68.848,0.06,4.125,28,,3.15E-02
69.553,0.06,4.169,29,,3.15E-02
70.197,0.06,4.204,30,,3.15E-02
70.776,0.06,4.24,31,,3.16E-02
71.248,0.06,4.27,32,,3.16E-02
71.647,0.06,4.293,33,,3.16E-02
71.976,0.06,4.314,34,,3.16E-02
72.192,0.06,4.329,35,,3.16E-02
72.327,0.06,4.337,36,,3.17E-02
72.383,0.06,4.342,37,,3.17E-02
72.365,0.06,4.341,38,,3.17E-02
72.274,0.06,4.337,39,,3.17E-02
72.127,0.06,4.328,40,,3.17E-02
71.896,0.06,4.317,41,,3.17E-02
71.609,0.06,4.298,42,,3.17E-02
71.244,0.06,4.276,43,,3.18E-02
70.81,0.06,4.253,44,,3.18E-02
70.304,0.06,4.222,45,,3.18E-02
69.748,0.06,4.187,46,,3.18E-02
69.139,0.06,4.155,47,,3.19E-02
68.495,0.06,4.115,48,,3.19E-02
67.817,0.06,4.073,49,,3.19E-02
67.109,0.06,4.033,50,,3.20E-02
66.384,0.06,3.986,51,,3.20E-02
65.621,0.06,3.945,52,,3.20E-02
64.859,0.06,3.896,53,,3.20E-02
64.117,0.06,3.851,54,,3.20E-02
63.35,0.06,3.809,55,,3.21E-02
62.6,0.06,3.762,56,,3.21E-02
61.868,0.06,3.713,57,,3.21E-02
61.143,0.06,3.674,58,,3.21E-02
60.395,0.06,3.629,59,,3.21E-02
59.723,0.06,3.586,60,,3.21E-02
59.088,0.06,3.551,61,,3.21E-02
58.454,0.06,3.511,62,,3.22E-02
57.825,0.06,3.473,63,,3.22E-02
57.243,0.06,3.436,64,,3.22E-02
56.682,0.06,3.406,65,,3.22E-02
56.147,0.06,3.372,66,,3.22E-02
55.64,0.06,3.34,67,,3.22E-02
55.162,0.06,3.312,68,,3.22E-02
54.675,0.06,3.283,69,,3.22E-02
54.236,0.06,3.255,70,,3.22E-02
53.824,0.06,3.233,71,,3.22E-02
53.426,0.06,3.208,72,,3.22E-02
53.048,0.06,3.184,73,,3.22E-02
52.686,0.06,3.161,74,,3.22E-02
52.35,0.06,3.143,75,,3.22E-02
52.009,0.06,3.122,76,,3.22E-02
51.7,0.06,3.102,77,,3.22E-02
51.405,0.06,3.086,78,,3.22E-02
51.122,0.06,3.069,79,,3.22E-02
50.848,0.06,3.051,80,,3.22E-02
50.594,0.06,3.037,81,,3.22E-02
50.338,0.06,3.022,82,,3.22E-02
50.105,0.06,3.007,83,,3.22E-02
49.872,0.06,2.994,84,,3.22E-02
49.636,0.06,2.979,85,,3.22E-02
49.417,0.06,2.966,86,,3.22E-02
49.214,0.06,2.953,87,,3.22E-02
49.013,0.06,2.942,88,,3.22E-02
48.824,0.06,2.93,89,,3.22E-02
48.631,0.06,2.918,90,,3.22E-02
48.442,0.06,2.907,91,,3.22E-02
48.271,0.06,2.896,92,,3.22E-02
48.103,0.06,2.887,93,,3.22E-02
47.931,0.06,2.876,94,,3.22E-02
47.766,0.06,2.866,95,,3.22E-02
47.621,0.06,2.857,96,,3.22E-02
47.457,0.06,2.848,97,,3.22E-02
47.301,0.06,2.838,98,,3.22E-02
47.153,0.06,2.83,99,,3.22E-02
46.994,0.06,2.82,100,,3.22E-02
46.858,0.06,2.812,101,,3.22E-02
46.716,0.06,2.803,102,,3.22E-02
46.579,0.06,2.795,103,,3.22E-02
46.445,0.06,2.787,104,,3.22E-02
46.307,0.06,2.779,105,,3.22E-02
46.18,0.06,2.77,106,,3.22E-02
46.054,0.06,2.764,107,,3.22E-02
45.928,0.06,2.756,108,,3.22E-02
45.815,0.06,2.748,109,,3.22E-02
45.699,0.06,2.742,110,,3.22E-02
45.576,0.06,2.735,111,,3.22E-02
45.468,0.06,2.728,112,,3.22E-02
45.352,0.06,2.722,113,,3.22E-02
45.251,0.06,2.715,114,,3.22E-02
45.138,0.06,2.708,115,,3.22E-02
45.032,0.06,2.702,116,,3.22E-02
44.929,0.06,2.696,117,,3.22E-02
44.828,0.06,2.689,118,,3.22E-02
44.726,0.06,2.684,119,,3.21E-02
44.627,0.06,2.677,120,,3.21E-02
,,,,,3.21E-02
,,,,,3.21E-02
,,,,,3.21E-02
,,,,,5.22E-03
